generation,trial,p,propertyType,property
8,46,0.55,b,0.0
8,46,0.55,a,0.998046875
8,46,0.55,s,0.9580078125
8,46,0.55,c,1.0
8,46,0.55,e,0.9980303813674077
7,46,0.55,b,0.0
7,46,0.55,a,0.9560546875
7,46,0.55,s,0.845703125
7,46,0.55,c,0.9804093226717624
7,46,0.55,e,0.9586380087155625
6,46,0.55,b,0.0
6,46,0.55,a,0.8310546875
6,46,0.55,s,0.6201171875
6,46,0.55,c,0.9958333891238562
6,46,0.55,e,0.8296279882807691
5,46,0.55,b,0.0
5,46,0.55,a,0.49609375
5,46,0.55,s,0.490234375
5,46,0.55,c,0.7501416376124886
5,46,0.55,e,0.5351700027082256
4,46,0.55,b,0.0
4,46,0.55,a,0.9814453125
4,46,0.55,s,0.724609375
4,46,0.55,c,0.9795603661455488
4,46,0.55,e,0.9812886229903734
3,46,0.55,b,0.0
3,46,0.55,a,0.716796875
3,46,0.55,s,0.64453125
3,46,0.55,c,0.8384471971424019
3,46,0.55,e,0.7528128616096709
2,46,0.55,b,0.0
2,46,0.55,a,0.87890625
2,46,0.55,s,0.50390625
2,46,0.55,c,0.8434311451516294
2,46,0.55,e,0.8916709752074254
1,46,0.55,b,0.4365234375
1,46,0.55,a,0.5634765625
1,46,0.55,s,1.0
1,46,0.55,c,-0.016949152542372926
1,46,0.55,e,-0.0025358839894625397
20,45,0.55,b,0.0
20,45,0.55,a,0.0
20,45,0.55,s,1.0
20,45,0.55,c,1.0
20,45,0.55,e,1.0
19,45,0.55,b,0.0
19,45,0.55,a,0.0
19,45,0.55,s,1.0
19,45,0.55,c,1.0
19,45,0.55,e,1.0
18,45,0.55,b,0.0
18,45,0.55,a,0.0
18,45,0.55,s,0.9970703125
18,45,0.55,c,1.0
18,45,0.55,e,1.0
17,45,0.55,b,0.0
17,45,0.55,a,0.0
17,45,0.55,s,0.9951171875
17,45,0.55,c,0.9941383093120348
17,45,0.55,e,0.9970455720511116
16,45,0.55,b,0.0
16,45,0.55,a,0.0
16,45,0.55,s,0.9912109375
16,45,0.55,c,0.9976956909337756
